ID,Exercise,Calories Burn,Dream Weight,Actual Weight,Age,Gender,Duration,Heart Rate,BMI,Weather Conditions,Exercise Intensity
21,Exercise 7,335.1512709,84.92312857,80.99303296,38,Male,55,114,24.8895933,Sunny,7
22,Exercise 9,131.4575318,54.97493556,52.29681481,29,Male,37,135,20.54155838,Sunny,2
23,Exercise 1,187.2145211,70.6800884,69.65255976,54,Female,26,117,30.59981568,Rainy,3
24,Exercise 7,129.0192376,58.10413954,54.69985051,30,Male,26,145,33.35999724,Sunny,9
25,Exercise 1,293.464795,60.08372848,59.86013459,45,Female,36,135,18.74376699,Sunny,7
26,Exercise 10,344.1352887,75.58965322,72.0983609,24,Male,57,159,31.57504828,Cloudy,2
27,Exercise 9,297.6813903,79.36560717,81.68863135,56,Male,39,133,20.0330802,Sunny,1
28,Exercise 10,126.4961165,93.80578537,98.57062426,54,Male,33,118,18.94809579,Cloudy,6
29,Exercise 8,279.7251573,76.76067757,78.70795184,21,Male,21,164,21.339318,Rainy,10
30,Exercise 6,214.2193561,50.81220347,49.31561328,55,Female,48,155,29.23556137,Sunny,1
31,Exercise 4,115.3368677,87.03452476,86.24767046,47,Male,26,154,22.17566114,Sunny,7
32,Exercise 5,444.6904555,82.72059543,86.45526301,24,Male,37,168,24.37234879,Cloudy,2
33,Exercise 1,261.0427782,87.93811297,90.68068215,57,Female,47,111,30.42326681,Rainy,8
34,Exercise 1,343.2067297,80.10790122,77.83226162,30,Female,31,170,24.94641272,Sunny,4
35,Exercise 8,483.4970362,75.61763231,78.03340967,52,Female,49,121,26.27883251,Sunny,9
36,Exercise 8,364.4688538,96.88634887,95.66982226,20,Male,43,103,24.83308985,Sunny,7
37,Exercise 9,353.2051257,54.24162087,54.53063568,37,Male,51,155,34.36954017,Rainy,10
38,Exercise 7,182.3335938,96.92153758,96.08917838,47,Female,25,106,28.17738168,Sunny,5
39,Exercise 8,316.0366931,76.44365295,79.82720402,28,Female,31,157,21.77174362,Sunny,1
40,Exercise 3,280.5911131,99.79883357,99.0966335,57,Female,27,150,32.25019059,Cloudy,4
41,Exercise 3,240.9247871,98.84875202,100.8967673,41,Female,53,162,27.39231586,Cloudy,5
42,Exercise 4,455.6056505,90.00990748,85.40862776,19,Male,60,153,22.21856755,Cloudy,1
43,Exercise 1,119.4725546,53.20619588,51.17641475,32,Female,37,168,19.43018046,Rainy,9
44,Exercise 9,121.0886855,60.46042111,58.06911618,55,Male,36,159,31.76605422,Cloudy,7
45,Exercise 9,207.9759501,67.72806592,70.58058256,39,Female,59,177,30.65263465,Sunny,2
46,Exercise 2,355.6478253,78.55073371,76.65819193,32,Female,28,126,23.04409145,Rainy,2
47,Exercise 10,176.4886037,76.97485323,75.47957349,58,Male,36,151,26.22608119,Rainy,7
48,Exercise 7,453.4353571,62.04763518,66.54716531,40,Male,52,158,20.05025199,Cloudy,6
49,Exercise 6,120.0669036,86.6758351,82.55090155,48,Female,34,174,25.8040189,Sunny,2
50,Exercise 3,379.3709879,84.14863746,88.76687023,36,Male,54,137,29.99401277,Cloudy,2
51,Exercise 2,244.9790358,82.43364998,77.79195722,35,Male,21,129,20.10679707,Rainy,7
52,Exercise 10,447.7851241,57.90317356,56.59718028,28,Male,39,124,24.51337316,Rainy,3
53,Exercise 9,117.819875,74.29894484,70.505351,37,Male,32,146,19.00649414,Rainy,3
54,Exercise 1,217.7570965,77.63226847,81.53358944,25,Female,50,136,33.61687435,Cloudy,7
55,Exercise 6,371.1216261,76.78404005,81.76218279,51,Male,52,146,34.29477546,Sunny,3
56,Exercise 9,441.770923,74.27839097,72.56739655,28,Female,20,108,21.1134036,Rainy,1
57,Exercise 5,277.7292176,93.72924375,90.70424116,27,Female,53,103,29.92696454,Sunny,5
58,Exercise 9,168.6552217,96.99129988,92.2778923,52,Male,38,136,20.23433582,Cloudy,8
59,Exercise 8,126.6017619,76.93070857,75.98180486,49,Female,26,112,22.83994622,Sunny,1
60,Exercise 2,283.2182582,65.65555298,62.78632646,48,Male,21,101,34.1017927,Cloudy,8
61,Exercise 9,301.4196335,57.83633874,61.49848031,40,Male,48,119,18.55321683,Rainy,6
62,Exercise 7,318.4410057,76.49824545,79.84324315,47,Female,21,164,19.24402432,Cloudy,4
63,Exercise 6,141.0364555,87.40573433,83.15299584,40,Female,25,156,28.19329989,Cloudy,10
64,Exercise 1,170.5211824,65.45832237,67.53030977,26,Male,39,174,34.31000845,Cloudy,2
65,Exercise 8,151.3656289,85.21196044,83.80386672,60,Female,35,121,26.38069687,Cloudy,7
66,Exercise 9,365.6369757,76.6660257,78.45646952,20,Male,30,151,31.07880384,Cloudy,4
67,Exercise 3,127.9066818,78.8011706,78.62363525,52,Male,52,172,21.65583392,Cloudy,2
68,Exercise 1,111.4136934,71.71853757,74.92635505,50,Male,23,147,21.91606524,Rainy,4
69,Exercise 6,455.756085,81.1732508,81.75920467,36,Male,40,118,22.45509707,Cloudy,1
70,Exercise 4,324.9529154,60.94100863,62.46149413,40,Female,41,171,23.8444923,Sunny,10
71,Exercise 9,224.7566667,53.58722902,53.78396297,51,Male,26,139,28.62831618,Rainy,7
72,Exercise 4,251.9707701,79.66824254,76.38530131,19,Female,34,107,25.38978365,Sunny,2
73,Exercise 9,346.4365542,99.07569469,95.95126884,32,Female,49,127,27.447053,Sunny,8
74,Exercise 3,233.3392462,55.8392404,52.15090762,58,Male,30,153,24.9464804,Cloudy,6
75,Exercise 6,222.7406397,97.72148267,100.4104576,25,Male,53,166,19.62559444,Sunny,4
76,Exercise 8,254.9823965,78.1162371,77.33768093,60,Male,27,128,29.80454185,Sunny,2
77,Exercise 10,387.9547256,81.0726531,81.78720798,42,Female,34,118,27.81412391,Rainy,4
78,Exercise 1,129.4225026,92.55242138,95.12661104,59,Female,51,176,32.99199182,Sunny,9
79,Exercise 10,211.9936538,98.59539471,96.4680018,52,Female,36,125,32.3516948,Cloudy,3
80,Exercise 6,187.1540026,95.02492746,96.17884077,43,Female,28,146,19.14769677,Rainy,2
81,Exercise 4,362.8855991,65.77778426,61.23949091,52,Male,44,145,32.27281532,Rainy,9
82,Exercise 1,145.4125641,69.8404642,72.72992098,27,Male,42,110,26.67828159,Rainy,10
83,Exercise 1,305.3738804,97.58691919,102.2311965,56,Female,46,103,22.06029777,Rainy,2
84,Exercise 4,472.5085347,61.69187834,62.93349247,33,Female,45,143,31.64764776,Cloudy,10
85,Exercise 1,364.7305563,65.50027596,64.29150459,57,Male,24,176,18.85074319,Cloudy,1
86,Exercise 3,218.439501,91.59064132,88.75571394,25,Female,55,156,21.63796084,Rainy,2
87,Exercise 7,120.509324,66.37023873,61.68558378,55,Male,46,110,34.0370336,Cloudy,7
88,Exercise 4,194.3341766,55.45791564,57.37963507,18,Female,42,121,28.68479934,Sunny,4
89,Exercise 9,169.705561,53.7830683,55.08886643,40,Male,51,152,20.96051879,Sunny,6
90,Exercise 6,178.0728415,80.1558737,82.52777519,43,Female,52,108,27.19984173,Rainy,7
91,Exercise 9,299.8187299,67.94857152,65.07531403,28,Male,32,137,24.3270678,Sunny,8
92,Exercise 10,443.5856836,53.55212315,50.02107892,57,Male,40,139,33.30809063,Rainy,5
93,Exercise 4,271.0956442,86.20290906,83.79618992,36,Female,22,180,24.6627078,Cloudy,3
94,Exercise 6,413.8854243,66.92549295,68.8660001,35,Male,36,109,22.10955455,Sunny,5
95,Exercise 9,176.433223,54.41506976,59.19067336,35,Male,27,166,23.4711098,Cloudy,8
96,Exercise 10,147.1726527,69.72905757,71.09468662,40,Female,56,115,28.76920033,Rainy,6
97,Exercise 3,408.4146909,87.41431198,87.5055916,34,Female,23,154,21.47705405,Sunny,7
98,Exercise 9,168.0208161,97.42627824,98.55154754,57,Female,52,107,30.60448801,Cloudy,5
99,Exercise 2,267.576432,90.12892254,86.43440433,41,Male,46,163,32.0156202,Cloudy,7
100,Exercise 3,366.0372045,79.75710513,75.32676972,37,Male,38,115,34.25747047,Cloudy,10
101,Exercise 5,309.7996685,76.27469891,78.86926562,42,Male,57,128,30.16709554,Sunny,1
102,Exercise 3,377.2902571,50.70619304,50.5837702,27,Male,50,166,21.55475318,Sunny,8
103,Exercise 6,306.2712633,54.14344982,56.99475918,53,Female,20,152,25.57786558,Rainy,3
104,Exercise 9,234.0254065,71.31793923,67.57261021,56,Female,30,106,33.17709401,Rainy,1
105,Exercise 4,329.4466802,56.68192287,60.79754678,38,Male,46,108,24.52088084,Cloudy,9
106,Exercise 6,442.5630513,52.05940184,55.71856453,22,Male,51,176,32.70903152,Sunny,7
107,Exercise 3,399.4897422,81.84193836,80.84973657,28,Male,28,151,27.61331775,Rainy,7
108,Exercise 10,483.969752,94.31314947,95.80545927,54,Male,51,127,21.38166209,Cloudy,4
109,Exercise 5,420.1160418,78.95308602,79.63577637,42,Female,58,125,27.29355873,Sunny,5
110,Exercise 4,209.8023499,54.2371572,59.09725982,18,Male,39,123,34.1207098,Cloudy,8
111,Exercise 4,124.8124867,57.00863719,57.63665394,57,Female,60,109,23.15990606,Cloudy,8
112,Exercise 7,118.3385206,84.5444396,82.51560728,47,Female,38,141,31.35652295,Sunny,6
113,Exercise 8,408.4920534,93.12616649,94.38356843,58,Female,22,145,32.09962909,Rainy,5
114,Exercise 7,118.1771261,99.5113162,102.9782737,43,Male,22,151,28.66587115,Cloudy,5
115,Exercise 1,422.7135013,60.69999543,63.44628513,58,Female,22,108,20.15866046,Cloudy,2
116,Exercise 7,240.0177788,53.32739946,56.20362011,23,Male,42,135,20.06185171,Cloudy,7
117,Exercise 9,419.3066769,85.90666573,88.79659313,49,Female,41,101,26.4000158,Rainy,5
118,Exercise 10,483.7782894,56.35911615,57.06837366,39,Female,26,163,21.42123002,Cloudy,4
119,Exercise 7,266.54832,91.46747422,92.75547183,34,Male,52,144,22.27836045,Cloudy,1
120,Exercise 2,104.8550273,63.53499848,67.04093332,19,Male,39,122,20.33647415,Cloudy,2
121,Exercise 2,302.9548246,78.63395151,83.11037908,32,Female,37,103,27.45571038,Sunny,4
122,Exercise 5,283.4472034,88.55364482,89.99851689,43,Female,54,118,24.89526987,Rainy,7
123,Exercise 10,239.5529794,92.31470194,91.07660295,57,Female,33,173,31.4402438,Rainy,7
124,Exercise 5,410.136624,56.9317965,55.98469128,44,Female,29,105,28.29870262,Sunny,2
125,Exercise 1,472.2571261,73.32088288,70.13620933,34,Female,50,146,22.92826784,Rainy,10
126,Exercise 9,440.3696002,57.83001371,53.042103,40,Female,44,169,28.11696786,Cloudy,4
127,Exercise 6,475.4189059,52.11344316,50.86320199,57,Female,36,161,22.21944956,Sunny,2
128,Exercise 10,142.9766065,97.24472774,93.00075247,59,Female,25,116,22.31779856,Rainy,9
129,Exercise 3,115.8819824,95.96800941,99.24127998,18,Female,50,144,31.96373669,Sunny,4
130,Exercise 5,443.3890037,80.83581477,84.33421187,39,Male,41,177,24.11116561,Rainy,9
131,Exercise 5,187.0619427,61.66302264,61.73193421,58,Female,27,130,29.31747581,Sunny,7
132,Exercise 6,310.3643974,82.73871276,85.16440129,43,Female,23,124,29.69361279,Sunny,3
133,Exercise 7,129.611367,59.36482569,55.16087683,30,Male,28,117,30.5449893,Cloudy,2
134,Exercise 6,383.2635156,56.26033451,61.24653066,25,Female,28,104,21.62008808,Cloudy,10
135,Exercise 4,144.7993694,76.41797628,78.5115556,52,Female,53,177,21.25129781,Rainy,1
136,Exercise 5,102.0959253,91.53400426,92.41374766,55,Female,50,106,33.35338189,Sunny,6
137,Exercise 10,344.712567,61.98804603,58.7253541,43,Male,59,108,19.09399718,Sunny,1
138,Exercise 4,237.6189713,82.4925542,86.58468232,29,Male,23,137,24.93561004,Sunny,1
139,Exercise 10,192.364994,95.81706922,100.4090798,40,Male,31,170,20.03404579,Rainy,2
140,Exercise 9,471.6148446,79.65763617,75.91369081,29,Male,58,160,21.51597702,Cloudy,5
141,Exercise 5,280.455236,75.32336965,74.96073161,36,Female,58,131,33.71839827,Rainy,7
142,Exercise 1,474.2340328,65.58163045,65.80857826,26,Female,59,107,24.40223101,Sunny,10
143,Exercise 8,184.4730934,64.73910381,68.3741302,46,Female,45,141,28.94278738,Cloudy,4
144,Exercise 5,137.7745595,51.05534575,53.69455335,22,Male,42,109,26.34117322,Sunny,7
145,Exercise 3,414.4423123,96.5655895,97.80677203,44,Female,31,121,27.51271829,Cloudy,3
146,Exercise 4,439.2877189,95.0383254,98.57887801,44,Male,40,106,28.42239194,Rainy,8
147,Exercise 1,152.3731861,70.97200523,74.43379193,28,Male,28,100,28.59196993,Cloudy,3
148,Exercise 5,313.1435338,82.27331216,84.64565117,52,Male,48,126,27.55570647,Cloudy,5
149,Exercise 9,376.4953334,85.24942967,82.52383881,26,Female,32,109,19.39886868,Rainy,5
150,Exercise 9,448.9890478,92.22488557,94.61001335,35,Male,30,141,22.85568356,Sunny,6
151,Exercise 9,293.0344535,55.50903185,53.24650478,56,Male,20,176,29.78677836,Cloudy,1
152,Exercise 3,233.122857,94.29167377,90.220902,38,Female,22,105,21.34916053,Cloudy,8
153,Exercise 9,151.5991295,54.17946007,57.12792775,23,Female,43,167,31.33151701,Sunny,5
154,Exercise 1,246.0202278,62.12980391,62.26845357,27,Female,23,104,22.51498621,Cloudy,7
155,Exercise 4,295.1513244,98.9389131,96.4338872,50,Female,36,178,24.54884642,Cloudy,1
156,Exercise 9,119.6067548,67.81632892,70.97223588,23,Male,25,170,18.94521484,Cloudy,5
157,Exercise 5,418.2618341,69.30636197,69.18487084,54,Male,23,177,23.62638167,Cloudy,2
158,Exercise 9,419.7180341,74.24094884,75.59689133,38,Female,51,151,26.50197594,Sunny,6
159,Exercise 7,237.1214052,70.27505826,74.84338458,45,Male,26,154,24.49874184,Cloudy,9
160,Exercise 4,488.9969371,88.25870267,83.66405641,19,Female,55,175,19.49576172,Cloudy,3
161,Exercise 3,485.0860445,72.31580813,69.31447707,60,Male,37,133,30.15399805,Sunny,3
162,Exercise 9,185.5255732,80.02737334,81.14219998,60,Male,56,111,25.12063694,Cloudy,7
163,Exercise 8,165.9993912,69.5446766,72.99273153,56,Male,51,162,22.66285542,Rainy,2
164,Exercise 7,312.9282633,89.47824503,88.61938842,53,Male,55,176,26.06325689,Rainy,3
165,Exercise 6,310.7992823,94.95883136,96.36457188,52,Female,35,168,20.68000992,Rainy,2
166,Exercise 2,194.9421322,72.69081273,75.08330305,24,Female,26,102,32.39776582,Rainy,4
167,Exercise 2,491.9044704,92.5834038,88.22157221,42,Male,29,153,23.19780894,Sunny,7
168,Exercise 10,334.6332176,55.68245556,54.81757182,19,Male,30,136,26.48644482,Rainy,10
169,Exercise 7,458.8810485,53.83608215,51.86215132,26,Male,33,133,33.52926921,Sunny,5
170,Exercise 2,221.3818281,72.23064443,75.38185875,49,Female,56,175,23.94210442,Cloudy,8
171,Exercise 7,325.8452919,96.0349605,93.34441029,51,Female,27,129,22.29424576,Cloudy,9
172,Exercise 5,271.7984607,96.23437792,91.8210386,18,Male,55,159,19.57181441,Cloudy,3
173,Exercise 5,218.1117723,83.12915796,87.46190442,35,Female,54,131,32.33269169,Sunny,6
174,Exercise 5,372.581496,97.81003857,94.37463386,54,Male,31,158,33.27434395,Sunny,1
175,Exercise 6,479.8325592,91.36767018,95.911693,49,Female,54,107,27.17379536,Cloudy,2
176,Exercise 9,394.1783809,51.52025874,48.40048431,56,Male,31,123,22.68855345,Sunny,10
177,Exercise 2,444.2549306,96.93743153,95.56601888,24,Female,21,152,30.9707873,Sunny,3
178,Exercise 7,317.3206578,50.68907642,47.45277461,37,Female,36,166,22.99728844,Cloudy,1
179,Exercise 4,294.440263,94.2268042,96.36381065,20,Female,33,172,32.29393205,Rainy,10
180,Exercise 9,336.160237,81.85502061,78.27247592,51,Female,40,145,25.56755187,Rainy,5
181,Exercise 8,179.1368748,96.11824221,94.01242775,21,Male,24,126,33.44114105,Sunny,6
182,Exercise 8,241.2112347,59.20834713,55.78219929,31,Female,35,166,20.54830706,Rainy,5
183,Exercise 10,468.6631805,68.2300733,64.57042377,38,Female,30,114,28.01156596,Rainy,8
184,Exercise 3,370.6934327,81.27285503,78.20786746,25,Female,31,144,31.51282138,Rainy,9
185,Exercise 5,235.4808427,62.75129513,63.56491265,18,Male,29,130,19.24520096,Cloudy,3
186,Exercise 7,497.6911217,71.99043663,69.05311312,27,Female,34,155,25.57548596,Sunny,7
187,Exercise 7,461.5139356,71.32622876,67.17188522,52,Female,45,102,33.81707437,Rainy,10
188,Exercise 2,358.1260719,97.29009016,101.0450295,49,Male,27,165,31.14741497,Sunny,9
189,Exercise 2,420.185107,78.51290543,79.41729076,48,Male,35,119,34.16084238,Rainy,2
190,Exercise 10,247.3177278,66.85790055,66.77762847,58,Female,43,136,27.66865811,Sunny,4
191,Exercise 1,304.6376978,59.58972611,62.54535184,60,Male,37,171,22.59039568,Cloudy,10
192,Exercise 5,485.9618233,76.38874557,73.95241722,42,Male,25,113,20.31656797,Rainy,4
193,Exercise 3,452.3517684,94.86783143,93.46029553,28,Female,23,141,28.69268691,Rainy,4
194,Exercise 5,430.4024765,63.48585996,60.11646252,48,Male,47,123,25.2372257,Sunny,7
195,Exercise 1,283.3606445,75.1904096,77.88313682,51,Female,41,171,20.45067266,Sunny,4
196,Exercise 2,212.742105,79.76207885,83.47986826,53,Female,34,117,33.34423973,Rainy,5
197,Exercise 7,497.8515018,68.93369316,65.71073511,25,Female,47,110,34.38153041,Sunny,2
198,Exercise 1,390.1075923,64.75229773,67.73405712,31,Male,45,160,26.13938514,Sunny,4
199,Exercise 1,214.5143714,63.83401715,68.24753501,34,Male,21,159,26.5913335,Cloudy,10
200,Exercise 7,188.6152102,96.73989768,100.3214275,43,Male,55,173,28.1726826,Rainy,9
201,Exercise 5,122.6847362,75.55821512,73.90294643,22,Male,58,116,20.81564035,Cloudy,7
202,Exercise 8,259.0072069,99.40958568,102.5759785,40,Male,52,107,30.199875,Sunny,10
203,Exercise 9,258.7209122,68.76460705,65.9868247,24,Male,32,136,32.38559416,Sunny,1
204,Exercise 4,154.7629008,90.34390764,86.9147589,59,Female,21,179,30.79285681,Cloudy,8
205,Exercise 2,282.6603086,95.03513001,94.72751555,53,Female,42,120,19.17657562,Sunny,4
206,Exercise 10,262.1380834,98.54044053,99.44447884,25,Female,36,103,20.53391978,Rainy,4
207,Exercise 6,489.7061081,72.99231194,74.53645217,24,Male,23,110,21.69213114,Cloudy,1
208,Exercise 10,308.560274,76.29655502,72.94929275,19,Female,33,105,22.79244181,Cloudy,8
209,Exercise 5,303.4398397,94.57317166,92.63114444,44,Male,44,146,21.4929567,Rainy,6
210,Exercise 9,242.4507635,68.97793856,67.15173698,48,Female,42,104,22.05978155,Cloudy,5
211,Exercise 8,224.3531034,70.03991788,73.94830679,60,Male,40,159,26.40999771,Sunny,7
212,Exercise 1,387.9751554,86.54081641,91.02035846,52,Female,34,142,22.55585982,Cloudy,2
213,Exercise 5,240.2690206,58.71842776,58.12264191,60,Male,54,136,34.26105261,Sunny,2
214,Exercise 5,324.107922,95.40474681,91.80876937,45,Female,34,113,21.72348561,Rainy,4
215,Exercise 4,126.1531014,74.81935703,76.758792,30,Female,50,129,29.00556556,Cloudy,10
216,Exercise 5,145.840523,75.13242544,76.49065871,35,Female,37,171,29.8985682,Cloudy,2
217,Exercise 1,118.6470115,51.67232034,51.61450441,25,Male,38,110,33.82190219,Rainy,5
218,Exercise 8,279.5525288,88.23354287,87.63950887,59,Female,35,126,34.00291981,Sunny,9
219,Exercise 3,114.0978791,51.5847937,47.25295118,44,Male,57,180,22.89634691,Rainy,7
220,Exercise 3,323.1393326,53.36734089,51.0539001,38,Male,29,120,29.2261896,Rainy,10
221,Exercise 5,299.4536977,70.36119841,67.68934097,41,Male,23,115,31.7652518,Cloudy,10
222,Exercise 3,433.6218435,92.99259898,88.015325,50,Female,53,119,28.98058516,Sunny,6
223,Exercise 3,131.4758952,73.66603495,77.49636925,25,Female,49,173,24.50330969,Sunny,6
224,Exercise 3,238.3390773,88.4643151,91.84575014,25,Male,26,102,24.95522302,Sunny,6
225,Exercise 9,445.9066828,90.30070673,93.55516577,53,Female,54,151,30.97390197,Sunny,3
226,Exercise 2,250.6072627,61.12086094,59.79740766,28,Female,34,146,24.64626143,Cloudy,1
227,Exercise 4,319.6223011,72.00819989,69.53764157,31,Female,45,155,30.90135908,Sunny,10
228,Exercise 5,191.1171928,85.72444463,90.47551048,48,Female,41,117,19.25112935,Sunny,9
229,Exercise 5,363.3425898,89.06139724,90.25399127,55,Male,52,135,31.22855908,Cloudy,9
230,Exercise 3,222.4347461,53.77242771,52.53937694,39,Female,39,100,24.48579821,Sunny,5
231,Exercise 7,213.921272,98.18922448,93.67878248,42,Male,51,143,18.54234137,Cloudy,6
232,Exercise 7,194.7017851,91.54321605,87.88988989,48,Female,59,179,33.29581566,Cloudy,5
233,Exercise 6,254.4716117,60.37831842,55.78997996,34,Female,60,151,34.98571687,Cloudy,2
234,Exercise 7,331.535759,65.54597657,63.66141161,20,Male,27,175,26.43131346,Cloudy,10
235,Exercise 4,255.1511815,51.72987654,55.34159526,48,Male,51,139,21.32289277,Rainy,9
236,Exercise 8,168.4553504,93.63590805,95.85150615,32,Male,48,132,26.33741437,Rainy,6
237,Exercise 1,388.0302215,98.07338041,97.51100213,41,Female,44,163,20.95288539,Sunny,3
238,Exercise 7,327.7262024,88.56898311,83.59971205,28,Female,36,100,22.69986994,Cloudy,7
239,Exercise 10,415.060294,61.33188581,60.26897653,54,Female,25,130,23.98040468,Cloudy,6
240,Exercise 10,385.1856873,98.98788724,100.6622709,59,Female,34,161,29.72536235,Sunny,5
241,Exercise 2,181.9180309,78.03411582,81.75602055,60,Female,45,125,21.77943765,Cloudy,7
242,Exercise 6,308.1344965,87.65768193,86.62404938,33,Male,28,108,25.62145083,Sunny,3
243,Exercise 6,417.0429093,78.09088878,79.26890552,39,Male,53,143,34.1228394,Cloudy,3
244,Exercise 4,308.5380208,65.20203933,62.93323959,57,Male,34,107,26.50494475,Sunny,7
245,Exercise 3,403.6280814,78.79455625,80.72214674,21,Female,29,180,25.490055,Cloudy,4
246,Exercise 8,454.6685624,88.7980383,88.43255009,40,Male,44,167,32.2979395,Cloudy,1
247,Exercise 4,286.4576245,58.91103944,55.12313268,41,Female,25,144,22.99997405,Sunny,4
248,Exercise 6,390.9885057,53.79172818,53.91204673,44,Female,32,108,25.09384749,Rainy,4
249,Exercise 10,310.270577,99.17696961,95.23066175,19,Female,58,148,33.92163942,Sunny,2
250,Exercise 1,362.8638865,91.50202327,93.79851035,48,Male,45,164,29.80356061,Rainy,9
251,Exercise 2,322.4907182,77.88304304,73.94803631,18,Male,34,116,25.23060779,Sunny,1
252,Exercise 2,441.4491581,96.50479509,98.47403214,28,Female,54,159,34.63480035,Cloudy,2
253,Exercise 3,159.1317833,63.91988695,63.89765467,37,Female,44,122,23.17639498,Cloudy,10
254,Exercise 5,493.7813433,67.11663076,70.08391828,38,Female,54,104,32.17548469,Cloudy,6
255,Exercise 7,216.1592428,72.54392001,70.50374018,22,Male,49,120,30.93797691,Cloudy,4
256,Exercise 5,326.532619,74.14516433,70.23640316,58,Female,28,160,21.5512308,Rainy,10
257,Exercise 7,455.2579295,67.33329576,65.25413296,24,Male,44,137,22.96582098,Rainy,7
258,Exercise 2,460.995065,82.65908838,79.01064398,60,Male,49,178,24.99600087,Sunny,8
259,Exercise 8,459.8698899,76.80096868,80.535058,59,Female,25,103,25.16837564,Cloudy,10
260,Exercise 7,440.2043132,60.22072815,58.08897521,40,Male,22,180,31.57757632,Rainy,8
261,Exercise 7,278.1967269,66.22890819,70.7713874,57,Male,27,132,20.87132541,Cloudy,10
262,Exercise 6,161.6621582,54.98457117,52.05841484,29,Female,53,120,33.58432215,Rainy,3
263,Exercise 4,496.1194256,80.41071319,77.41519775,35,Female,34,152,31.73631604,Sunny,10
264,Exercise 2,312.1965692,60.14283902,55.41210375,21,Female,26,117,21.56606221,Sunny,1
265,Exercise 6,289.5039568,51.4126883,55.32812567,19,Female,59,102,20.74087439,Sunny,6
266,Exercise 8,451.3558735,54.00657727,58.25794246,31,Male,39,158,34.13992,Rainy,2
267,Exercise 7,205.4822903,50.80994275,51.10745895,35,Male,30,151,33.41957239,Sunny,8
268,Exercise 4,228.9977038,75.96628696,72.49935442,48,Female,58,168,32.95397849,Cloudy,7
269,Exercise 5,412.8717973,99.43406735,98.99602467,51,Male,36,166,33.08167402,Rainy,5
270,Exercise 1,125.3188633,61.66126373,62.93773009,60,Male,60,140,25.50366824,Cloudy,9
271,Exercise 9,332.2157903,79.50702411,82.90077002,18,Female,56,107,31.49407517,Sunny,1
272,Exercise 1,170.3770551,69.55536825,70.98652946,54,Female,24,112,18.58827479,Rainy,8
273,Exercise 1,480.8794249,60.56365223,61.05276,35,Male,22,176,33.03941552,Rainy,9
274,Exercise 7,458.836108,59.45034665,60.27206231,19,Female,55,141,34.4811694,Rainy,6
275,Exercise 2,152.0253587,57.5357302,55.00439332,40,Male,20,138,23.40905355,Rainy,4
276,Exercise 1,202.6962407,69.97506025,71.43576989,57,Male,38,170,23.16198917,Rainy,2
277,Exercise 6,340.7412607,71.7618215,70.57669883,45,Male,25,159,34.53310207,Rainy,8
278,Exercise 6,181.6505208,53.50719133,53.64369787,58,Male,41,113,34.80267975,Cloudy,5
279,Exercise 4,296.237181,85.59008795,90.29951198,55,Female,56,159,33.97005736,Cloudy,2
280,Exercise 1,414.0052653,83.18856385,87.17224165,43,Male,27,126,30.8375631,Sunny,10
281,Exercise 6,365.7079677,78.18353651,82.31624701,25,Female,60,169,18.59892834,Cloudy,4
